"","poly_id","name","latitude","longitude","type","notes","percent.cover","size","accessibility"
"21","p5","multiple",35.53536111,-121.0838056,"milk thistle, italian thistle","large area with about 10 medium clusters of thistle each equal in size",NA,"4 x 4 m","high"
"22","p5","multiple",35.53511111,-121.0840556,"milk thistle, italian thistle","large area with about 10 medium clusters of thistle each equal in size",NA,"4 x 4 m","high"
"23","p5","multiple",35.53480556,-121.08375,"milk thistle, italian thistle","large area with about 10 medium clusters of thistle each equal in size",NA,"4 x 4 m","high"
"24","p5","multiple",35.53508333,-121.0834722,"milk thistle, italian thistle","large area with about 10 medium clusters of thistle each equal in size",NA,"4 x 4 m","high"
"25","p5","multiple",35.53519444,-121.0831389,"milk thistle, italian thistle","large area with about 10 medium clusters of thistle each equal in size",NA,"4 x 4 m","high"
"26","p5","multiple",35.53547222,-121.0834167,"milk thistle, italian thistle","large area with about 10 medium clusters of thistle each equal in size",NA,"4 x 4 m","high"
"27","p5","multiple",35.53547222,-121.0835833,"milk thistle, italian thistle","large area with about 10 medium clusters of thistle each equal in size",NA,"4 x 4 m","high"
"28","p5","multiple",35.53536111,-121.08375,"milk thistle, italian thistle","large area with about 10 medium clusters of thistle each equal in size",NA,"4 x 4 m","high"
"29","p6 ","multiple",35.53322222,-121.0823611,"milk thistle, italian thistle","large patch of very larrge plants, fairly dispersed in places and clumped in others",55,"","high"
"30","p6 ","multiple",35.53327778,-121.0824444,"milk thistle, italian thistle","large patch of very larrge plants, fairly dispersed in places and clumped in others",55,"","high"
"31","p6 ","multiple",35.53358333,-121.0823889,"milk thistle, italian thistle","large patch of very larrge plants, fairly dispersed in places and clumped in others",55,"","high"
"32","p6 ","multiple",35.53397222,-121.08225,"milk thistle, italian thistle","large patch of very larrge plants, fairly dispersed in places and clumped in others",55,"","high"
"33","p6 ","multiple",35.53372222,-121.0827222,"milk thistle, italian thistle","large patch of very larrge plants, fairly dispersed in places and clumped in others",55,"","high"
"34","p6 ","multiple",35.53341667,-121.0826111,"milk thistle, italian thistle","large patch of very larrge plants, fairly dispersed in places and clumped in others",55,"","high"
"35","p6 ","multiple",35.53333333,-121.0824722,"milk thistle, italian thistle","large patch of very larrge plants, fairly dispersed in places and clumped in others",55,"","high"
"52","p11","multiple",35.53827778,-121.0865278,"milk thistle, italian thistle","large patch, east of patch that is close to the hill, by the camp",30,"","high"
"53","p11","multiple",35.53808333,-121.0862222,"milk thistle, italian thistle","large patch, east of patch that is close to the hill, by the camp",30,"","high"
"54","p11","multiple",35.53830556,-121.0860833,"milk thistle, italian thistle","large patch, east of patch that is close to the hill, by the camp",30,"","high"
"55","p11","multiple",35.53841667,-121.0862778,"milk thistle, italian thistle","large patch, east of patch that is close to the hill, by the camp",30,"","high"
"56","p11","multiple",35.53833333,-121.0866944,"milk thistle, italian thistle","large patch, east of patch that is close to the hill, by the camp",30,"","high"
"86","p19","multiple",35.53619444,-121.0741944,"thistle, cape ivy","large area, clustered, highly dense",90,"","medium"
"87","p19","multiple",35.53611111,-121.0740833,"thistle, cape ivy","large area, clustered, highly dense",90,"","medium"
"88","p19","multiple",35.536,-121.0739722,"thistle, cape ivy","large area, clustered, highly dense",90,"","medium"
"89","p19","multiple",35.53588889,-121.0738333,"thistle, cape ivy","large area, clustered, highly dense",90,"","medium"
"90","p19","multiple",35.53552778,-121.0738889,"thistle, cape ivy","large area, clustered, highly dense",90,"","medium"
"95","p21","multiple",35.53463889,-121.0813056,"thistle, cape ivy","large patch along northern fence by weather station arorro, east of path, extends south of fence in places",70,"","high"
"96","p21","multiple",35.53458333,-121.0815,"thistle, cape ivy","large patch along northern fence by weather station arorro, east of path, extends south of fence in places",70,"","high"
"97","p21","multiple",35.53455556,-121.0816389,"thistle, cape ivy","large patch along northern fence by weather station arorro, east of path, extends south of fence in places",70,"","high"
"98","p21","multiple",35.53430556,-121.0818611,"thistle, cape ivy","large patch along northern fence by weather station arorro, east of path, extends south of fence in places",70,"","high"
