ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Today's Date and Time,Recorder Initials,Group Member Initials,Transect Number,Transect Orientation,Bearing,Bearing Orientation (Magnetic or True North),Latitude,Longitude ,Did you take a photo for iNaturalist and upload it?,Flower Buds,Open Flowers,Unripe Fruit,Ripe Fruit,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0,End Time,Notes?,What percent of the target species present is alive?,What percent of the target species present is dead?,Dominant cover,What percent of the black crowberry was alive?,Are you following trail or coast protocol? ,Flower Buds,Open Flowers,Unripe fruit,Ripe fruit,Transect number ,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0,Not present  - What percent of the black crowberry was alive?,Is black crowberry present?,Surrounding Habitat,Other - Surrounding Habitat,x,y
7,0c10ab0b-1926-4008-b6e5-08a9baefcbcc,7/7/2021 3:33:41 PM,,7/7/2021 3:33:41 PM,,7/7/2021 3:29:54 PM,HEG,EMJ,2a,Parallel,5°N,True,44°20’24”,68°4’3,No_I_forgot_:_,Not_Present,Not_Present,Not_Present,Not_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,11:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.0676174280894,44.3400985825339
8,18259554-9de6-48e0-baef-43a12e3f8081,7/7/2021 7:02:03 PM,,7/7/2021 7:02:03 PM,,7/7/2021 3:40:37 PM,HEG,EMJ,3a,Parallel,0°N,True,44°20’25”,68°4’4”,Yes!,Not_Present,Not_Present,Not_Present,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,None_Present,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,None_Present,None_Present,Black_crowberry,Black_crowberry,None_Present,None_Present,None_Present,None_Present,Black_crowberry,None_Present,None_Present,Black_crowberry,None_Present,None_Present,None_Present,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,None_Present,None_Present,Black_crowberry,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,11:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.0676099810996,44.3402468066003
9,591d21ba-cac9-4014-95be-97778ffdbe9d,7/7/2021 7:02:12 PM,,7/7/2021 7:02:12 PM,,7/7/2021 4:27:40 PM,HEG,EMJ,4a,Parallel,48°NE,True,44°20’26”,68°4’4”,Yes_but_it_hasn't_uploaded_yet,Not_Present,Not_Present,Not_Present,Not_Present,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,Black_crowberry,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,Black_crowberry,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,12:32,"dominat species sheep laurel 
percent dead 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.0677020806889,44.3405013762062
10,220474b5-8a33-4c52-9ef0-783f308f5024,7/7/2021 7:02:20 PM,,7/7/2021 7:02:20 PM,,7/7/2021 4:41:24 PM,HEG,EMJ,5a,Parallel,9°N,True,44°20’26”,68°4’3”,Yes_but_it_hasn't_uploaded_yet,Not_Present,Not_Present,Not_Present,Not_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,None_Present,Black_crowberry,Black_crowberry,Black_crowberry,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,Black_crowberry,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,12:46,"under spruce trees, canadian bunchberry, grasses

percent dead 30 percent ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.0674637597352,44.3406328392367
11,b3423487-b61b-4778-9c1b-b4944dcc69cd,7/7/2021 7:02:27 PM,,7/7/2021 7:02:27 PM,,7/7/2021 5:16:28 PM,HEG,EMJ,6a,Parallel,113°SE,True,44°20’27”,68°4’3”,No_I_forgot_:_,Not_Present,Not_Present,Not_Present,Not_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,13:21,"no black crowberry on the line 
close to the water 
dominant species japanese siltgrass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.0674523370308,44.3407477989468
12,5dc8f0ab-b61f-4288-9a40-b592d25079e0,7/7/2021 7:02:43 PM,,7/7/2021 7:02:43 PM,,7/7/2021 5:31:13 PM,HEG,EMJ,7a,Parallel,147°SE,True,44°20’27” N,68°4’2” W,No_I_forgot_:_,Not_Present,Not_Present,Not_Present,Not_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,13:33,"no black crowberry 
dominant species canadian bunchberry ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.06714997336,44.3406858087355
13,44b17639-f9fa-41b5-8454-015c94d292b2,7/7/2021 7:02:51 PM,,7/7/2021 7:02:51 PM,,7/7/2021 5:39:33 PM,HEG,EMJ,8a,Parallel,88° E,True,44°20’27”N,68°4’0” W,Yes_but_it_hasn't_uploaded_yet,Not_Present,Not_Present,Not_Present,Black_crowberry,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,None_Present,13:43,"right by water 
rocky ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.0668497819823,44.3408119201662
14,c78adf74-82a4-4e04-95fc-0d9ee3552352,7/7/2021 7:03:01 PM,,7/7/2021 7:03:01 PM,,7/7/2021 5:50:52 PM,HEG,MEJ,9a,Parallel,127°SE,True,44°20’27” N,69°3’59” W,Yes_but_it_hasn't_uploaded_yet,Not_Present,Not_Present,Not_Present,Not_Present,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,13:55,"by rocks and water 
percent dead 15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.0665181273883,44.3407626691587
15,57950fe7-d649-4b23-941d-e9d1f846643b,7/7/2021 7:03:24 PM,,7/7/2021 7:03:24 PM,,7/7/2021 6:00:39 PM,HEG,EMJ,10a,Parallel,80°E,True,44°20’27” N,68°3’58” W,No_I_forgot_:_,Not_Present,Not_Present,Not_Present,Not_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,14:03,no crowberry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.0662276302732,44.3407227034336
16,2d7522b7-76b9-48eb-b61c-088f0b1990ef,7/7/2021 7:03:34 PM,,7/7/2021 7:03:34 PM,,7/7/2021 6:09:26 PM,HEG,EMJ,11a,Parallel,107°E,True,44°20’27” N,63°3’57”W,Yes_but_it_hasn't_uploaded_yet,Not_Present,Not_Present,Not_Present,Not_Present,Black_crowberry,Black_crowberry,None_Present,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,None_Present,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,Black_crowberry,None_Present,14:13,"lingonberry and spruce 
percent dead 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.0659500768517,44.3407842094205
